,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Victoria,HK,22.2855,114.1577,75.38,90,99,13.0,overcast clouds
1,Esna,EG,25.2934,32.554,85.24,26,0,10.29,clear sky
2,Hobart,AU,-42.8794,147.3294,55.26,74,100,12.66,overcast clouds
3,Hasaki,JP,35.7333,140.8333,55.22,92,100,18.21,moderate rain
4,Bambari,CF,5.768,20.6757,92.66,32,100,3.31,overcast clouds
5,Atar,MR,20.5169,-13.0499,83.01,8,0,13.02,clear sky
6,Laguna,US,38.421,-121.4238,51.01,84,0,0.0,clear sky
7,Grindavik,IS,63.8424,-22.4338,39.67,52,0,33.38,clear sky
8,Albany,US,42.6001,-73.9662,36.73,80,18,3.27,few clouds
9,Sembe,CG,1.6481,14.5806,87.4,48,91,3.76,overcast clouds
10,Mantua,IT,45.1667,10.7833,54.64,85,0,3.0,clear sky
11,Ushuaia,AR,-54.8,-68.3,51.46,43,40,13.8,scattered clouds
12,Vaini,TO,-21.2,-175.2,77.16,88,20,5.75,few clouds
13,Atuona,PF,-9.8,-139.0333,77.63,76,30,16.82,light rain
14,Osoyoos,CA,49.0331,-119.4524,32.76,100,85,1.14,overcast clouds
15,Thompson,CA,55.7435,-97.8558,28.56,100,100,6.91,mist
16,Kapaa,US,22.0752,-159.319,68.32,83,40,4.61,scattered clouds
17,Svetlaya,RU,46.5389,138.3297,30.06,59,100,3.56,overcast clouds
18,Hithadhoo,MV,-0.6,73.0833,81.59,75,33,12.21,scattered clouds
19,Sitka,US,57.0531,-135.33,44.49,81,100,10.36,light rain
20,Kaitangata,NZ,-46.2817,169.8464,46.67,94,100,5.93,overcast clouds
21,Pau,FR,43.4167,-0.5833,63.05,77,100,13.8,overcast clouds
22,Barrow,US,71.2906,-156.7887,8.62,78,100,16.11,light snow
23,Vanavara,RU,60.34,102.2797,-2.22,98,100,3.67,overcast clouds
24,Shimoda,JP,34.6667,138.95,54.1,89,100,9.64,overcast clouds
25,Margate,GB,51.3813,1.3862,55.69,75,100,5.99,overcast clouds
26,Melfi,IT,40.9965,15.6514,55.96,41,23,10.8,few clouds
27,Rikitea,PF,-23.1203,-134.9692,73.51,82,97,11.5,overcast clouds
28,Tiksi,RU,71.6872,128.8694,-24.97,100,100,3.69,overcast clouds
29,Alofi,NU,-19.0595,-169.9187,71.49,100,0,4.61,clear sky
30,Saldanha,ZA,-33.0117,17.9442,73.45,68,12,19.08,few clouds
31,Bluff,NZ,-46.6,168.3333,47.86,86,100,7.4,overcast clouds
32,Tuktoyaktuk,CA,69.4541,-133.0374,3.76,95,100,8.1,overcast clouds
33,Myitkyina,MM,25.3833,97.4,64.94,69,20,2.08,few clouds
34,Bengkulu,ID,-3.8004,102.2655,75.96,86,100,8.9,light rain
35,Nikolskoye,RU,59.7035,30.7861,26.49,88,92,5.53,overcast clouds
36,Jacksonville,US,30.3322,-81.6556,62.06,80,100,12.66,overcast clouds
37,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.99,69,40,6.71,scattered clouds
38,Codrington,AU,-38.2667,141.9667,52.83,87,100,6.67,overcast clouds
39,Avarua,CK,-21.2078,-159.775,75.25,83,20,12.66,few clouds
40,Antigonish,CA,45.6169,-61.9986,34.83,87,100,1.01,overcast clouds
41,Busselton,AU,-33.65,115.3333,60.98,87,100,11.65,overcast clouds
42,Bredasdorp,ZA,-34.5322,20.0403,82.94,25,87,25.61,overcast clouds
43,Dikson,RU,73.5069,80.5464,-22.11,96,14,6.31,few clouds
44,Mataura,NZ,-46.1927,168.8643,43.74,100,100,2.53,overcast clouds
45,Cuamba,MZ,-14.8031,36.5372,80.37,57,80,4.76,light rain
46,Klaksvik,FO,62.2266,-6.589,47.32,88,87,26.15,overcast clouds
47,Pemba,MZ,-12.974,40.5178,81.91,68,0,14.34,clear sky
48,Katsuura,JP,35.1333,140.3,53.62,94,91,13.47,heavy intensity rain
49,Buzmeyin,TM,38.0507,58.2056,73.13,18,20,0.0,few clouds
50,Okhotsk,RU,59.3833,143.3,-0.92,83,44,18.48,scattered clouds
